Date,Open,High,Low,Close,Adj Close,Volume
2022-12-06,18600.650391,18654.900391,18577.900391,18642.750000,18642.750000,217800
2022-12-07,18638.849609,18668.300781,18528.400391,18560.500000,18560.500000,200500
2022-12-08,18570.849609,18625.000000,18536.949219,18609.349609,18609.349609,202800
2022-12-09,18662.400391,18664.699219,18410.099609,18496.599609,18496.599609,215800
2022-12-12,18402.150391,18521.550781,18345.699219,18497.150391,18497.150391,193900
2022-12-13,18524.400391,18617.250000,18490.199219,18608.000000,18608.000000,187600
2022-12-14,18671.250000,18696.099609,18632.900391,18660.300781,18660.300781,208000
2022-12-15,18614.400391,18652.900391,18387.699219,18414.900391,18414.900391,183100
2022-12-16,18319.099609,18440.949219,18255.150391,18269.000000,18269.000000,277700
2022-12-19,18288.099609,18431.650391,18244.550781,18420.449219,18420.449219,154800
2022-12-20,18340.300781,18404.900391,18202.650391,18385.300781,18385.300781,169000
2022-12-21,18435.150391,18473.349609,18162.750000,18199.099609,18199.099609,187600
2022-12-22,18288.800781,18318.750000,18068.599609,18127.349609,18127.349609,195700
2022-12-23,17977.650391,18050.449219,17779.500000,17806.800781,17806.800781,221500
2022-12-26,17830.400391,18084.099609,17774.250000,18014.599609,18014.599609,176700
2022-12-27,18089.800781,18149.250000,17967.449219,18132.300781,18132.300781,214300
2022-12-28,18084.750000,18173.099609,18068.349609,18122.500000,18122.500000,193900
2022-12-29,18045.699219,18229.699219,17992.800781,18191.000000,18191.000000,281100
2022-12-30,18259.099609,18265.250000,18080.300781,18105.300781,18105.300781,192000
2023-01-02,18131.699219,18215.150391,18086.500000,18197.449219,18197.449219,256100
2023-01-03,18163.199219,18251.949219,18149.800781,18232.550781,18232.550781,208700
2023-01-04,18230.650391,18243.000000,18020.599609,18042.949219,18042.949219,235200
2023-01-05,18101.949219,18120.300781,17892.599609,17992.150391,17992.150391,269900
2023-01-06,18008.050781,18047.400391,17795.550781,17859.449219,17859.449219,238200
2023-01-09,17952.550781,18141.400391,17936.150391,18101.199219,18101.199219,257200
2023-01-10,18121.300781,18127.599609,17856.000000,17914.150391,17914.150391,283300
2023-01-11,17924.250000,17976.349609,17824.349609,17895.699219,17895.699219,259900
