Date,Nifty
03-Jan-05,2115
04-Jan-05,2103.75
05-Jan-05,2032.2
06-Jan-05,1998.35
07-Jan-05,2015.5
10-Jan-05,1982
11-Jan-05,1952.05
12-Jan-05,1913.6
13-Jan-05,1954.55
14-Jan-05,1931.1
17-Jan-05,1932.9
18-Jan-05,1934.05
19-Jan-05,1926.65
20-Jan-05,1925.3
24-Jan-05,1909
25-Jan-05,1931.85
27-Jan-05,1955
28-Jan-05,2008.3
31-Jan-05,2057.6
01-Feb-05,2059.85
02-Feb-05,2052.25
03-Feb-05,2079.45
04-Feb-05,2077.95
07-Feb-05,2055.1
08-Feb-05,2055.15
09-Feb-05,2070
10-Feb-05,2063.35
11-Feb-05,2082.05
14-Feb-05,2098.25
15-Feb-05,2089.95
16-Feb-05,2068.8
17-Feb-05,2061.9
18-Feb-05,2055.55
21-Feb-05,2043.2
22-Feb-05,2058.4
23-Feb-05,2057.1
24-Feb-05,2055.3
25-Feb-05,2060.9
28-Feb-05,2103.25
01-Mar-05,2084.4
02-Mar-05,2093.25
03-Mar-05,2128.85
04-Mar-05,2148.15
07-Mar-05,2160.1
08-Mar-05,2168.95
09-Mar-05,2160.8
10-Mar-05,2167.4
11-Mar-05,2154
14-Mar-05,2146.35
15-Mar-05,2128.95
16-Mar-05,2125.55
17-Mar-05,2098.5
18-Mar-05,2109.15
21-Mar-05,2096.6
22-Mar-05,2061.6
23-Mar-05,2026.4
24-Mar-05,2015.4
28-Mar-05,2029.45
29-Mar-05,1983.85
30-Mar-05,1993.7
31-Mar-05,2035.65
01-Apr-05,2067.65
04-Apr-05,2063.4
05-Apr-05,2052.55
06-Apr-05,2069.3
07-Apr-05,2052.85
08-Apr-05,2031.2
11-Apr-05,2008.2
12-Apr-05,2024.95
13-Apr-05,2025.45
15-Apr-05,1956.3
18-Apr-05,1927.8
19-Apr-05,1909.4
20-Apr-05,1929.7
21-Apr-05,1948.55
22-Apr-05,1967.35
25-Apr-05,1970.95
26-Apr-05,1957.1
27-Apr-05,1935.4
28-Apr-05,1941.3
29-Apr-05,1902.5
02-May-05,1916.75
03-May-05,1920.7
04-May-05,1942.6
05-May-05,1963.3
06-May-05,1977.5
09-May-05,2000.75
10-May-05,1994.3
11-May-05,1985.95
12-May-05,1993.15
13-May-05,1988.3
16-May-05,2012.6
17-May-05,1990.8
18-May-05,1982.75
19-May-05,1990.85
20-May-05,1992.4
23-May-05,2013.9
24-May-05,2028.6
25-May-05,2043.85
26-May-05,2074.7
27-May-05,2076.4
30-May-05,2072.4
31-May-05,2087.55
01-Jun-05,2087.55
02-Jun-05,2064.65
03-Jun-05,2094.25
04-Jun-05,2092.35
06-Jun-05,2092.8
07-Jun-05,2098.15
08-Jun-05,2112.4
09-Jun-05,2103.2
10-Jun-05,2090.6
13-Jun-05,2102.75
14-Jun-05,2112.35
15-Jun-05,2128.65
16-Jun-05,2123.7
17-Jun-05,2123.4
20-Jun-05,2144.35
21-Jun-05,2170
22-Jun-05,2187.35
23-Jun-05,2183.85
24-Jun-05,2194.35
27-Jun-05,2199.8
28-Jun-05,2169.85
29-Jun-05,2191.65
30-Jun-05,2220.6
01-Jul-05,2211.9
04-Jul-05,2230.65
05-Jul-05,2210.75
06-Jul-05,2228.2
07-Jul-05,2179.4
08-Jul-05,2196.2
11-Jul-05,2218.85
12-Jul-05,2220.8
13-Jul-05,2204.05
14-Jul-05,2185.1
15-Jul-05,2212.55
18-Jul-05,2234
19-Jul-05,2237.3
20-Jul-05,2241.9
21-Jul-05,2230.5
22-Jul-05,2265.6
25-Jul-05,2291.75
26-Jul-05,2303.15
27-Jul-05,2319.1
29-Jul-05,2312.3
01-Aug-05,2318.05
02-Aug-05,2353.65
03-Aug-05,2357
04-Aug-05,2367.8
05-Aug-05,2361.2
08-Aug-05,2324.4
09-Aug-05,2318.7
10-Aug-05,2360.15
11-Aug-05,2380.9
12-Aug-05,2361.55
16-Aug-05,2369.8
17-Aug-05,2403.15
18-Aug-05,2388.45
19-Aug-05,2383.45
22-Aug-05,2367.85
23-Aug-05,2326.1
24-Aug-05,2322.5
25-Aug-05,2354.55
26-Aug-05,2357.05
29-Aug-05,2337.65
30-Aug-05,2367.75
31-Aug-05,2384.65
